EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,GripForce,Subject
-1,5,-2,-1,-3,-3,0,5,0,1
-3,-11,-2,-2,-4,-1,0,-5,0,1
1,9,0,0,0,-1,-5,-3,0,1
-2,6,1,1,1,1,-4,-16,0,1
2,-13,2,0,0,0,1,6,0,1
0,4,-1,0,0,1,1,0,0,1
3,-16,-5,-3,-2,0,4,5,0,1
-5,3,-1,-1,-2,-3,-5,1,0,1
1,4,-3,0,-2,-1,0,4,0,1
-2,-3,-2,-2,-1,-1,4,-8,0,1
0,7,1,0,1,0,-2,9,0,1
-1,-1,-2,0,0,-4,-6,-4,0,1
11,-5,0,-1,0,2,-1,38,0,1
-2,3,-5,-2,-1,-2,-2,3,0,1
5,6,1,0,-1,2,5,5,0,1
-9,-5,2,-2,-1,-2,2,-6,0,1
-5,-5,-4,-1,-1,-2,-1,-9,0,1
0,3,-4,-2,-2,0,0,1,0,1
0,4,2,1,0,0,-1,22,0,1
2,-2,-2,-2,-2,0,-1,2,0,1
-4,5,2,-3,-2,-2,3,-13,0,1
1,-9,-3,-1,-2,-1,-8,10,0,1
-8,4,-4,-1,0,-1,1,-17,0,1
-7,-20,-2,1,-2,1,-1,6,0,1
6,2,1,0,1,-1,-3,-1,0,1
-3,-1,-2,-2,-2,-4,-2,-12,0,1
-1,-2,-2,-2,-2,-2,-5,-2,0,1
0,5,-3,-1,-1,1,1,3,0,1
-3,-6,-3,1,-1,-1,-7,-8,0,1
0,6,1,-2,-1,-1,-2,1,0,1
-1,-3,-3,-3,-3,1,2,-2,0,1
3,-8,-3,-1,-1,-1,1,10,0,1
-11,-1,8,1,0,-3,-2,-12,0,1
1,6,0,-1,-1,-1,-2,-3,0,1
-4,-2,0,-2,-2,-1,-1,-1,0,1
1,1,-6,-3,-1,0,3,-7,0,1
3,-5,-2,-1,1,0,-3,15,0,1
-1,-1,0,-1,-2,-1,-2,1,0,1
1,1,-3,-2,-2,-1,-1,-7,0,1
3,-1,1,0,1,1,-2,8,0,1
1,22,-4,-1,-3,-1,7,14,0,1
-6,-15,1,-3,-1,-3,-1,-3,0,1
0,-8,-2,-1,0,-3,-5,-3,0,1
-3,7,0,-2,-2,-1,-5,-11,0,1
-2,-4,-1,-1,-1,0,0,-9,0,1
3,11,2,1,-1,-1,4,10,0,1
-2,-15,-2,-1,-2,-2,-4,20,0,1
-3,4,-1,-2,-1,-5,-4,-4,0,1
0,-2,-1,0,-1,0,2,-8,0,1
1,-7,-3,0,0,1,2,6,0,1
-2,-3,-1,-2,-2,-1,1,-10,0,1
-3,10,3,-1,-1,0,-2,-3,0,1
-5,-9,-3,-2,-1,-2,-4,-4,0,1
0,3,-2,-1,-2,0,-5,-11,0,1
0,3,-1,-1,-1,0,-1,-8,0,1
1,3,-4,-1,-3,0,2,3,0,1
-4,-11,1,0,0,-3,-2,-10,0,1
0,2,-2,0,1,-1,-2,0,0,1
-2,-10,-2,-1,-2,-1,-1,2,0,1
-3,1,-3,-2,-2,-1,-2,-7,0,1
-2,-9,-4,-1,-2,2,2,-3,0,1
-1,-3,-1,-2,-1,-1,-2,-2,0,1
-1,11,3,2,1,-2,-3,-3,0,1
-3,-2,-1,-3,-2,-3,2,-6,0,1
1,1,-1,0,-1,0,-3,2,0,1
1,-3,-1,-2,0,-2,0,-1,0,1
-1,-9,-2,0,-1,1,2,-2,0,1
2,2,-2,-2,-1,0,0,3,0,1
-3,5,1,-1,-2,-2,0,-6,0,1
0,4,-1,-1,0,-1,0,6,0,1
-3,-7,-1,-2,-1,-1,0,0,0,1
3,-3,-1,0,-1,-1,-2,20,0,1
-3,-1,-1,-1,-1,-2,1,-2,0,1
0,1,0,0,-1,0,-2,-3,0,1
-2,-4,-1,-2,-1,-1,1,-2,0,1
-6,-5,1,0,-1,-3,-3,-19,0,1
-1,2,-1,0,-2,-2,-3,2,0,1
-5,-13,-2,-2,-2,0,-1,-12,0,1
1,-15,1,-1,-2,-3,-8,-6,0,1
-2,7,-2,-2,-1,-1,9,-3,0,1
0,-4,0,0,0,-2,-3,-3,0,1
1,-2,0,-2,-1,-2,-1,-3,0,1
3,6,-2,-2,-1,0,-1,0,0,1
0,-6,-1,-1,2,1,-3,0,0,1
-1,3,-2,-2,1,-3,1,1,0,1
1,6,-4,-1,-1,-1,-1,2,0,1
-2,-2,-4,-1,-2,-2,0,-2,0,1
-2,1,-1,-1,-3,-3,-4,2,0,1
-1,1,-3,-2,-1,1,2,-5,0,1
-4,-12,-3,-2,1,-1,-3,-2,0,1
-1,14,2,0,-1,0,0,-3,0,1
-1,-8,-1,0,0,-1,-1,1,0,1
0,-3,-4,-1,-1,-2,-5,2,0,1
0,1,0,-1,-1,-2,1,1,0,1
-3,-1,-1,-1,0,-3,6,-7,0,1
1,-15,-1,-1,-1,0,-3,3,0,1
-5,4,0,-2,-1,-2,-1,-2,0,1
-1,0,-1,1,0,0,-1,2,0,1
1,11,-5,-3,-1,1,-1,-11,0,1
-1,-20,1,-2,0,-2,0,-4,0,1
-2,0,-2,-2,1,0,-1,1,0,1
-3,1,1,-1,-2,0,2,-3,0,1
-2,2,-2,-1,-2,-2,-1,3,0,1
-3,9,0,-3,-1,-2,0,-4,0,1
1,-4,0,-1,-1,0,-5,4,0,1
-2,-5,-3,-2,-3,-2,-1,0,0,1
-1,-2,-1,-2,-2,-2,-8,3,0,1
-4,4,-4,-1,-1,0,6,-10,0,1
-1,-4,1,-1,0,-2,1,-6,0,1
-2,6,-1,-1,-1,2,-1,-1,0,1
-1,-6,2,-1,-1,-6,-6,3,0,1
2,-5,-2,-3,-2,-1,-6,-2,0,1
0,12,1,1,0,0,2,0,0,1
0,9,0,-2,0,-1,2,2,0,1
-3,-21,0,-1,-1,0,-4,-4,0,1
0,6,-1,0,-2,-2,-5,2,0,1
-1,-5,-5,-1,-3,-1,0,1,0,1
-4,2,-2,-2,0,0,0,-1,0,1
-1,7,2,1,-1,0,7,2,0,1
-2,-7,0,-1,-1,0,-6,-15,0,1
-2,-1,-1,-1,-2,-4,-3,1,0,1
2,-18,-3,-1,0,-3,-2,-2,0,1
-2,3,-3,-3,1,0,1,2,0,1
0,3,-1,-3,-2,-1,0,10,0,1
-2,-7,0,-1,-2,-1,1,-3,0,1
-1,5,1,0,-3,-1,-2,-3,0,1
5,4,-4,-2,-1,1,-3,0,0,1
-4,-8,3,0,-1,-3,-1,-1,0,1
1,-7,-3,-2,-2,1,2,4,0,1
-2,-3,-1,-2,-2,-1,1,0,0,1
-3,1,-3,-2,0,-2,-1,2,0,1
-4,12,-1,0,-1,-1,2,-1,0,1
2,14,-4,-2,-1,-1,-6,-5,0,1
-4,-21,-2,1,0,0,3,-6,0,1
0,-4,-1,-1,1,0,3,17,0,1
2,-6,-3,-3,0,-1,-2,0,0,1
-5,11,1,-2,-1,-2,0,-7,0,1
3,6,2,0,-1,-1,-2,1,0,1
2,-1,-3,-1,-3,1,1,-5,0,1
-4,-6,-1,1,-2,-2,-1,1,0,1
3,-11,-2,0,0,-1,-2,1,0,1
-5,5,0,-2,-1,0,1,-1,0,1
-2,-6,-1,0,-2,-1,-1,-1,0,1
1,4,-1,-1,-1,-1,-1,-2,0,1
1,-5,-2,-1,-2,-1,-3,11,0,1
0,1,-1,-1,1,-1,-5,-9,0,1
-1,-5,3,1,1,-1,-8,-6,0,1
1,0,-3,-3,0,-1,0,1,0,1
-7,-4,-3,-2,-2,0,6,-5,0,1
-2,3,0,-1,-2,-1,-5,1,0,1
-1,-6,-1,-2,-3,-2,4,-4,0,1
0,3,-1,0,-1,-1,0,0,0,1
2,-4,1,-1,-1,0,-1,-3,0,1
-2,10,-3,-2,0,-1,-2,3,0,1
-2,-9,-4,0,0,-1,-4,-3,0,1
-5,-3,0,1,-1,0,-2,-6,0,1
1,3,-1,-2,-2,-2,0,10,0,1
2,-1,-1,-1,-2,0,1,1,0,1
-5,-7,-1,-2,0,-1,0,-2,0,1
2,11,-2,-1,1,0,-1,1,0,1
0,1,3,0,0,-1,1,-7,0,1
2,-9,-2,-2,0,-1,2,6,0,1
-3,9,0,-1,-1,-2,-1,-2,0,1
-4,-10,0,0,-2,-2,-2,-6,0,1
-2,7,-1,-2,0,-1,-9,-13,2,1
3,2,-2,-3,-1,0,2,-5,2,1
4,-14,0,2,0,-1,-10,14,2,1
7,1,1,0,2,2,15,7,2,1
-6,-8,-2,-2,-1,-1,4,1,2,1
2,0,2,-1,-3,2,7,2,2,1
1,12,2,-2,0,-1,-4,-19,2,1
1,-17,-5,0,-1,-5,-20,5,2,1
-1,7,3,2,1,6,35,21,2,1
0,-10,-3,-2,-5,-7,-23,-7,2,1
-2,16,-3,0,-3,2,7,-7,2,1
-1,-12,0,1,-2,-4,-26,-3,2,1
-3,9,-4,-1,0,-1,-8,-9,2,1
3,-3,-3,0,-1,1,10,6,2,1
-3,7,0,-1,0,-2,-15,-15,2,1
-5,0,-1,-2,-2,1,4,-20,2,1
4,0,2,0,-1,-1,8,22,2,1
-2,-4,0,2,2,0,-3,3,2,1
-3,-8,-4,-3,-3,-4,-23,-2,2,1
2,2,0,-3,-1,0,8,-4,2,1
-2,2,-5,-1,-1,-1,-11,-13,2,1
3,5,0,-1,2,0,10,0,2,1
-3,-2,-2,0,3,1,-3,2,2,1
-4,7,0,-1,-1,1,11,-2,2,1
-4,-23,0,-2,-1,-1,4,-2,2,1
-1,9,0,0,0,-4,-27,-6,2,1
-1,-7,-1,-2,-3,-2,-3,-5,2,1
2,4,-1,0,-1,-1,-5,-13,2,1
4,21,-4,-4,-3,-2,0,6,2,1
-5,-32,-4,-2,-1,4,17,-6,2,1
-8,10,5,1,0,-7,-20,-21,2,1
1,10,-3,-2,-2,0,5,16,2,1
-1,-9,1,1,0,-1,1,-6,2,1
6,13,1,0,-2,-2,-12,23,2,1
-4,-13,-5,-3,-1,-2,2,-6,2,1
1,-6,0,-1,2,2,19,4,2,1
-3,-6,-5,-2,-2,-3,-35,27,2,1
-1,18,0,-3,-1,-2,12,-9,2,1
-3,-22,-1,-2,-1,2,7,2,2,1
0,22,-1,-1,0,-3,-1,7,2,1
-5,-26,-6,-3,-1,-2,2,2,2,1
1,10,2,-1,0,-4,0,-20,2,1
-9,1,1,1,0,1,-2,4,2,1
5,-10,-7,-3,-1,-2,-6,1,2,1
-4,2,-1,0,0,2,16,-7,2,1
2,6,-3,-1,-2,0,7,0,2,1
5,1,-1,-1,1,-2,1,6,2,1
